Site;Microscopy;biomass
exposed_6;biomass_Sididae;0,000000
exposed_6;biomass_Balanidae_LV;7350,000000
exposed_6;biomass_Polychaeta;0,000000
exposed_6;biomass_all_cyclo;0,000000
exposed_6;biomass_all_cop_unident;0,000000
exposed_6;biomass_ac_sp_total;38725,000000
exposed_6;biomass_ac_tonsa_ad;0,000000
exposed_6;biomass_ac_bifilosa_ad;0,000000
exposed_6;biomass_eury_total;300,000000
exposed_6;biomass_tem_total;150,000000
exposed_6;biomass_bos_coregoni_total;3450,000000
semi_1;biomass_Keratella_cochlearis;254250,000000
semi_1;biomass_Keratella_quadrata;90100,000000
semi_1;biomass_Keratella_cruciformis;8450,000000
semi_1;biomass_Synchaeta_spp;5100,000000
semi_1;biomass_Asplancha_spp;0,000000
semi_1;biomass_Harpacticoida;0,000000
semi_1;biomass_Helicostomella_subulata;3493,000000
semi_1;biomass_Tintinnopsis_brandti;112,000000
semi_1;biomass_Tintinnopsis_lobiancoi;2,000000
semi_1;biomass_Tintinnopsis_fimbriata;110,000000
semi_1;biomass_Gastropoda;15400,000000
semi_1;biomass_Bivalvia;0,000000
semi_1;biomass_Podon_spp;42250,000000
semi_1;biomass_Evadne_spp;0,000000
semi_1;biomass_Ceriodaphnia_spp;0,000000
semi_1;biomass_Daphnia_cucullata;0,000000
semi_1;biomass_Daphnia_christata;0,000000
semi_1;biomass_Daphnia_spp;0,000000
semi_1;biomass_Chydorus_spp;0,000000
semi_1;biomass_Cercopagis pengoi;0,000000
semi_1;biomass_Sididae;0,000000
semi_1;biomass_Balanidae_LV;11400,000000
semi_1;biomass_Polychaeta;0,000000
semi_1;biomass_all_cyclo;125,000000
semi_1;biomass_all_cop_unident;0,000000
semi_1;biomass_ac_sp_total;73875,000000
semi_1;biomass_ac_tonsa_ad;20100,000000
semi_1;biomass_ac_bifilosa_ad;0,000000
semi_1;biomass_eury_total;22500,000000
semi_1;biomass_tem_total;1350,000000
semi_1;biomass_bos_coregoni_total;18675,000000
semi_2;biomass_Keratella_cochlearis;79450,000000
semi_2;biomass_Keratella_quadrata;44000,000000
semi_2;biomass_Keratella_cruciformis;9200,000000
semi_2;biomass_Synchaeta_spp;5100,000000
semi_2;biomass_Asplancha_spp;0,000000
semi_2;biomass_Harpacticoida;0,000000
semi_2;biomass_Helicostomella_subulata;702,500000
semi_2;biomass_Tintinnopsis_brandti;261,000000
semi_2;biomass_Tintinnopsis_lobiancoi;9,000000
semi_2;biomass_Tintinnopsis_fimbriata;37,000000
semi_2;biomass_Gastropoda;15400,000000
semi_2;biomass_Bivalvia;150,000000
semi_2;biomass_Podon_spp;29250,000000
semi_2;biomass_Evadne_spp;6000,000000
semi_2;biomass_Ceriodaphnia_spp;750,000000
semi_2;biomass_Daphnia_cucullata;0,000000
semi_2;biomass_Daphnia_christata;0,000000
semi_2;biomass_Daphnia_spp;0,000000
semi_2;biomass_Chydorus_spp;0,000000
semi_2;biomass_Cercopagis pengoi;0,000000
semi_2;biomass_Sididae;0,000000
semi_2;biomass_Balanidae_LV;11550,000000
semi_2;biomass_Polychaeta;0,000000
semi_2;biomass_all_cyclo;412,500000
semi_2;biomass_all_cop_unident;0,000000
semi_2;biomass_ac_sp_total;54350,000000
semi_2;biomass_ac_tonsa_ad;3500,000000
semi_2;biomass_ac_bifilosa_ad;0,000000
semi_2;biomass_eury_total;2800,000000
semi_2;biomass_tem_total;150,000000
semi_2;biomass_bos_coregoni_total;12275,000000
semi_3;biomass_Keratella_cochlearis;345800,000000
semi_3;biomass_Keratella_quadrata;141000,000000
semi_3;biomass_Keratella_cruciformis;28400,000000
semi_3;biomass_Synchaeta_spp;150,000000
semi_3;biomass_Asplancha_spp;0,000000
semi_3;biomass_Harpacticoida;0,000000
semi_3;biomass_Helicostomella_subulata;6114,000000
semi_3;biomass_Tintinnopsis_brandti;5,000000
semi_3;biomass_Tintinnopsis_lobiancoi;2,000000
semi_3;biomass_Tintinnopsis_fimbriata;318,000000
semi_3;biomass_Gastropoda;9800,000000
semi_3;biomass_Bivalvia;375,000000
semi_3;biomass_Podon_spp;33150,000000
semi_3;biomass_Evadne_spp;0,000000
semi_3;biomass_Ceriodaphnia_spp;0,000000
semi_3;biomass_Daphnia_cucullata;0,000000
semi_3;biomass_Daphnia_christata;0,000000
