asv_id	sample	nreads
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA84	91948
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA85	35201
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA86	21454
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA87	13166
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA88	19
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB10	1
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA89	19
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB11	330
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB12	10
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB15	6
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB16	5
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB2	17
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB17	23
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB3	1
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB18	34
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB4	5
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB19	18
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB6	1
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA100	22
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA101	12
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA102	17
8bcb02b4a7c8f77f76efd3e2fee2dd51	CTRL2	10
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA10	1981
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA11	2993
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA12	1651
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA13	8321
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA14	11189
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA15	4471
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA16	7730
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA17	7073
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA30	2
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA18	12380
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA31	45933
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA19	4
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA32	19515
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA33	22008
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA34	19200
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA35	15563
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA36	23341
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA50	6
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA37	12
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA51	9
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA38	8
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA52	148440
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA39	22
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA53	105994
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA54	123929
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA55	133523
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA56	124811
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA70	36560
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA57	168011
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA71	97277
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA58	131285
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA72	233
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA59	133361
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA73	138641
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA74	139652
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA75	165969
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA76	12
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA90	16
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA77	11
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA91	137283
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA78	15
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA92	183866
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA79	35074
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA93	144348
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA94	115410
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA95	126210
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA96	166337
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA97	198104
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA98	197103
