Site;Imaging;biomass
shel_1;img_biomass_Keratella;0,00000000
shel_1;img_biomass_Keratella_cochlearis;31301,48270000
shel_1;img_biomass_Keratella_cruciformis;0,00000000
shel_1;img_biomass_Keratella_quadrata;6589,78583200
shel_1;img_biomass_Polychaeta;0,00000000
shel_1;img_biomass_Podon;0,00000000
shel_1;img_biomass_Rotifera;0,00000000
shel_1;img_biomass_Sididae;0,00000000
shel_1;img_biomass_Synchaeta;0,00000000
shel_1;img_biomass_Tintinnopsis;0,00000000
shel_1;img_biomass_all_cyclo;4868,61614500
shel_1;img_biomass_all_cop;16474,46458000
shel_1;img_biomass_ac_total;76382,53707000
shel_1;img_biomass_all_cal;161616,14498000
shel_2;img_biomass_Asplancha;0,00000000
shel_2;img_biomass_Balanidae;4966,88741700
shel_2;img_biomass_Bivalvia;2558,44370900
shel_2;img_biomass_Bosmina;24578,80795000
shel_2;img_biomass_Cercopagis_pengoi;0,00000000
shel_2;img_biomass_Ceriodaphnia;0,00000000
shel_2;img_biomass_Daphnia;0,00000000
shel_2;img_biomass_Daphnia_cucullata;0,00000000
shel_2;img_biomass_Diplostraca;350,00000000
shel_2;img_biomass_Eurytemora;53780,13245000
shel_2;img_biomass_Evadne;0,00000000
shel_2;img_biomass_Gastropoda;3500,00000000
shel_2;img_biomass_Harpacticoida;0,00000000
shel_2;img_biomass_Helicostomella_subulata;66,22516556
shel_2;img_biomass_Keratella;0,00000000
shel_2;img_biomass_Keratella_cochlearis;41390,72848000
shel_2;img_biomass_Keratella_cruciformis;4966,88741700
shel_2;img_biomass_Keratella_quadrata;9933,77483400
shel_2;img_biomass_Polychaeta;1400,00000000
shel_2;img_biomass_Podon;0,00000000
shel_2;img_biomass_Rotifera;0,00000000
shel_2;img_biomass_Sididae;0,00000000
shel_2;img_biomass_Synchaeta;0,00000000
shel_2;img_biomass_Tintinnopsis;66,22516556
shel_2;img_biomass_all_cyclo;9028,14569500
shel_2;img_biomass_all_cop;37223,84106000
shel_2;img_biomass_ac_total;239899,33774000
shel_2;img_biomass_all_cal;412127,15231000
shel_3;img_biomass_Asplancha;0,00000000
shel_3;img_biomass_Balanidae;0,00000000
shel_3;img_biomass_Bivalvia;2384,73767900
shel_3;img_biomass_Bosmina;32057,55167000
shel_3;img_biomass_Cercopagis_pengoi;0,00000000
shel_3;img_biomass_Ceriodaphnia;0,00000000
shel_3;img_biomass_Daphnia;1500,00000000
shel_3;img_biomass_Daphnia_cucullata;0,00000000
shel_3;img_biomass_Diplostraca;0,00000000
shel_3;img_biomass_Eurytemora;5600,00000000
shel_3;img_biomass_Evadne;0,00000000
shel_3;img_biomass_Gastropoda;0,00000000
shel_3;img_biomass_Harpacticoida;0,00000000
shel_3;img_biomass_Helicostomella_subulata;365,65977740
shel_3;img_biomass_Keratella;2384,73767900
shel_3;img_biomass_Keratella_cochlearis;297297,29730000
shel_3;img_biomass_Keratella_cruciformis;7949,12559600
shel_3;img_biomass_Keratella_quadrata;38155,80286000
shel_3;img_biomass_Polychaeta;44515,10333000
shel_3;img_biomass_Podon;3000,00000000
shel_3;img_biomass_Rotifera;0,00000000
shel_3;img_biomass_Sididae;0,00000000
shel_3;img_biomass_Synchaeta;0,00000000
shel_3;img_biomass_Tintinnopsis;0,00000000
shel_3;img_biomass_all_cyclo;3974,56279800
shel_3;img_biomass_all_cop;16698,25119000
shel_3;img_biomass_ac_total;88731,95548000
shel_3;img_biomass_all_cal;188467,40858000
shel_4;img_biomass_Asplancha;0,00000000
shel_4;img_biomass_Balanidae;4897,95918300
